         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            66992188              85        29.40        33.97         2499.00         2887.45
            66125098              44        22.44        28.41          987.36         1250.04
            47553915              25        19.60        25.24          490.00          631.00
            81982758              56        10.68        14.84          598.08          831.04
            80858072              98        13.32        16.89         1305.36         1655.22
            42978025              89        27.65        33.36         2460.85         2969.04
            73638310              31        14.74        19.35          456.94          599.85
            64853503              41        12.51        16.82          512.91          689.62
            83361455              50        10.14        16.07          507.00          803.50
            45117011             100        19.02        24.56         1902.00         2456.00
            88550476              20        21.62        24.86          432.40          497.20
            39347416              68        18.06        23.68         1228.08         1610.24
            53518629              69        11.66        17.49          804.54         1206.81
            77085365              41        22.53        26.66          923.73         1093.06
            58038988              62        13.42        17.69          832.04         1096.78
            54756389               6        10.30        13.48           61.80           80.88
            37413158              28        28.57        33.34          799.96          933.52
            22971931              40        17.84        23.59          713.60          943.60
            63173268               9        15.25        18.46          137.25          166.14
            71852096              57        26.92        30.71         1534.44         1750.47
            32407988              15        28.85        34.65          432.75          519.75
            42145649              30        19.23        24.90          576.90          747.00
            22217524              54        10.94        15.56          590.76          840.24
            15495526              36        16.20        20.47          583.20          736.92
            36733364              69        29.72        35.59         2050.68         2455.71
            13258730              62        19.61        24.99         1215.82         1549.38
            62481686              38        27.38        31.15         1040.44         1183.70
            79065482              77        15.63        21.13         1203.51         1627.01
            18422552             100        22.06        27.26         2206.00         2726.00
            52555493              21        20.65        25.19          433.65          528.99
            72771191               3        17.78        23.31           53.34           69.93
            44481271              78        27.03        32.21         2108.34         2512.38
            56884152               4        15.70        21.26           62.80           85.04
            83234292              26        23.80        29.24          618.80          760.24
            24955147             100        15.08        20.76         1508.00         2076.00
            85466608              62        12.70        16.12          787.40          999.44
            22307784              99        14.22        19.97         1407.78         1977.03
            14698138              39        15.68        21.08          611.52          822.12
            55263273              42        18.62        22.22          782.04          933.24
            42770709              50        12.19        15.44          609.50          772.00
            77465093              70        16.94        22.83         1185.80         1598.10
            60716308              47        20.86        26.78          980.42         1258.66
            48583427              80        15.99        20.68         1279.20         1654.40
            43941327              31        12.59        16.54          390.29          512.74
            41677726              77        14.76        18.57         1136.52         1429.89
            43151607              65        13.59        19.16          883.35         1245.40
            69865581              94        21.26        26.45         1998.44         2486.30
            21323997              81        12.74        16.19         1031.94         1311.39
            77086936              79        19.91        25.81         1572.89         2038.99
            83980353              56        20.50        25.99         1148.00         1455.44
            16224831              41        11.63        16.47          476.83          675.27
            75647204              28        19.39        24.87          542.92          696.36
            67515582              61        17.43        20.59         1063.23         1255.99
            71387635              81        14.74        17.92         1193.94         1451.52
            85699185              26        13.43        19.23          349.18          499.98
            78039357              82        16.45        22.40         1348.90         1836.80
            15388347              59        27.85        32.62         1643.15         1924.58
            39458442              23        20.49        26.06          471.27          599.38
            78122228              85        13.73        18.55         1167.05         1576.75
            75268158              29        13.03        18.84          377.87          546.36
            40278707              84        20.15        24.30         1692.60         2041.20
            14375908              58        15.24        19.87          883.92         1152.46
            27240862              43        28.12        31.28         1209.16         1345.04
            36511952              85        13.32        17.87         1132.20         1518.95
            60716308              47        20.86        26.78          980.42         1258.66
            21323997              81        12.74        16.19         1031.94         1311.39
            12968942              80        18.72        22.47         1497.60         1797.60
            12949685               6        26.89        30.96          161.34          185.76
            44928407              38        14.42        20.03          547.96          761.14
            21552284              30        10.40        15.18          312.00          455.40
            68262175              92        19.83        24.50         1824.36         2254.00
            88046718              25        22.56        27.49          564.00          687.25
            14366464              32        10.12        15.81          323.84          505.92
            70692724               6        19.41        22.88          116.46          137.28
            23132529              24        24.77        28.34          594.48          680.16
            60027243              72        19.48        24.93         1402.56         1794.96
            43891580              46        11.44        16.13          526.24          741.98
            13201627              70        18.12        24.09         1268.40         1686.30
            36020570              22        15.27        19.78          335.94          435.16
            27640169              59        10.52        15.35          620.68          905.65
            27972823              12        28.73        32.17          344.76          386.04
            51080942              56        23.57        29.09         1319.92         1629.04
            48635725              21        18.82        23.72          395.22          498.12
            43715790              31        27.98        31.68          867.38          982.08
            37303335              98        14.00        19.04         1372.00         1865.92
            71351528              91        18.02        21.76         1639.82         1980.16
            47578754              90        26.20        30.44         2358.00         2739.60
            28810429              81        29.49        33.01         2388.69         2673.81
            14366464              32        10.12        15.81          323.84          505.92
            70692724               6        19.41        22.88          116.46          137.28
            40036792              65        17.31        23.16         1125.15         1505.40
            46318094              53        13.39        18.74          709.67          993.22
            33429908              40        26.09        30.14         1043.60         1205.60
            61299263              98        29.11        33.01         2852.78         3234.98
            11303142              47        10.56        16.35          496.32          768.45
            17800899              16        22.20        26.01          355.20          416.16
            42578554              20        17.59        21.44          351.80          428.80
            77445705              30        29.18        33.65          875.40         1009.50
            79490708              84        10.37        15.25          871.08         1281.00
            22387159              81        13.54        19.15         1096.74         1551.15
            76147512              40        24.26        27.40          970.40         1096.00
            33483040              55        24.25        28.48         1333.75         1566.40
            76427814              70        21.25        24.36         1487.50         1705.20
            47296985               1        10.99        15.81           10.99           15.81
            34189844              93        16.77        20.93         1559.61         1946.49
            21390393              99        10.14        14.09         1003.86         1394.91
            14379934              45        29.70        33.17         1336.50         1492.65
            38072280              17        22.95        28.65          390.15          487.05
            30739126              14        27.83        33.29          389.62          466.06
            29435965              39        25.28        31.23          985.92         1217.97
            61130267              34        10.88        14.34          369.92          487.56
            16618211              24        17.44        20.78          418.56          498.72
            55473817              57        19.13        22.13         1090.41         1261.41
            81379037              14        27.74        31.56          388.36          441.84
            43777863              67        16.83        20.60         1127.61         1380.20
            68849001              21        11.90        15.56          249.90          326.76
            84001619               3        20.58        24.48           61.74           73.44
            81296480              90        25.59        31.13         2303.10         2801.70
            46738486              38        14.87        19.44          565.06          738.72
            64418724               9        21.15        25.22          190.35          226.98
            43510588              29        25.05        29.18          726.45          846.22
            63435178              55        22.04        27.16         1212.20         1493.80
            15917508              81        28.92        31.96         2342.52         2588.76
            18659990              43        15.01        20.76          645.43          892.68
            81735019              16        25.51        31.43          408.16          502.88
            48509677               4        25.20        29.71          100.80          118.84
            21314622              60        18.99        24.19         1139.40         1451.40
            62111634               1        16.41        19.97           16.41           19.97
            60683021               2        18.36        23.75           36.72           47.50
            86012790               1        11.18        15.75           11.18           15.75
            35537534              60        27.18        32.16         1630.80         1929.60
            74375297              31        12.28        18.21          380.68          564.51
            57630177              38        26.52        29.81         1007.76         1132.78
            66028170              21        17.59        23.57          369.39          494.97
            75630018              41        10.08        15.68          413.28          642.88
            34092153               3        23.76        29.20           71.28           87.60
            75724437              74        23.26        26.87         1721.24         1988.38
            75529079              28        29.27        33.08          819.56          926.24
            41818150              51        13.22        18.99          674.22          968.49
            60410146              21        26.93        32.34          565.53          679.14
            58759637              78        15.20        18.21         1185.60         1420.38
            58485457               5        23.64        28.18          118.20          140.90
            49052689              79        23.14        27.68         1828.06         2186.72
            35539581              17        16.74        22.13          284.58          376.21
            30418386              42        23.72        28.11          996.24         1180.62
            54366510              24        13.73        18.58          329.52          445.92
            11531675              85        10.99        16.11          934.15         1369.35
            78629863               8        24.51        28.31          196.08          226.48
            50036717               8        24.69        28.73          197.52          229.84
            39635549               8        28.02        33.32          224.16          266.56
            43984612              76        25.76        31.51         1957.76         2394.76
            28069210              27        12.45        16.94          336.15          457.38
            83637016              69        27.45        31.72         1894.05         2188.68
            18082546              53        23.34        29.03         1237.02         1538.59
            52392582              78        16.69        20.31         1301.82         1584.18
            87553231              70        23.79        28.20         1665.30         1974.00
            66955027              45        26.73        30.99         1202.85         1394.55
            31761910              89        17.84        23.01         1587.76         2047.89
            65915441              71        18.19        24.01         1291.49         1704.71
            59474045              55        11.99        16.72          659.45          919.60
            32827437               8        20.49        24.73          163.92          197.84
            83361455              50        10.14        16.07          507.00          803.50
            49300488              61        10.69        16.28          652.09          993.08
            73833666              69        21.75        26.11         1500.75         1801.59
            84179853              47        12.93        18.61          607.71          874.67
            15039599               1        21.53        26.95           21.53           26.95
            70401508              98        28.82        34.04         2824.36         3335.92
            73324460              35        13.12        18.60          459.20          651.00
            74543762              61        12.57        16.86          766.77         1028.46
            50743173              92        24.91        29.66         2291.72         2728.72
            41721415              31        12.02        17.97          372.62          557.07
            58810322               4        19.17        25.03           76.68          100.12
            81946005              22        19.90        24.29          437.80          534.38
            83582158              67        22.44        26.30         1503.48         1762.10
            23375463              13        15.85        20.15          206.05          261.95
            81781879              98        21.13        24.15         2070.74         2366.70
            54221156              93        13.04        18.12         1212.72         1685.16
            23180207              23        21.63        25.79          497.49          593.17
            56222908              32        15.37        20.22          491.84          647.04
            25372090              93        17.27        22.99         1606.11         2138.07
            58038988              62        13.42        17.69          832.04         1096.78
            29884085              52        26.47        30.46         1376.44         1583.92
            35262107               8        14.46        19.91          115.68          159.28
            88452976              45        13.45        17.83          605.25          802.35
            15183855              18        24.59        29.80          442.62          536.40
            86414890              27        10.02        14.42          270.54          389.34
            34311148              62        12.77        18.19          791.74         1127.78
            14599689              68        21.52        26.55         1463.36         1805.40
            86457838              45        22.84        25.86         1027.80         1163.70
            58445058               2        21.96        27.41           43.92           54.82
            15431795              95        15.33        19.15         1456.35         1819.25
            45117011             100        19.02        24.56         1902.00         2456.00
            31803679              94        23.14        26.61         2175.16         2501.34
            39347416              68        18.06        23.68         1228.08         1610.24
            39341800              25        24.32        29.58          608.00          739.50
            43436020              40        25.86        30.99         1034.40         1239.60
            49142030              36        23.15        28.01          833.40         1008.36
            80084832              35        23.91        28.79          836.85         1007.65
            54404663              50        25.23        29.16         1261.50         1458.00
            63798705              29        25.13        30.85          728.77          894.65
            79891110               8        10.47        16.15           83.76          129.20
            55344433              71        29.00        34.35         2059.00         2438.85
            82887766              39        16.82        21.55          655.98          840.45
            77085365              41        22.53        26.66          923.73         1093.06
            86202831              47        29.26        35.23         1375.22         1655.81
            54756389               6        10.30        13.48           61.80           80.88
            40171345              51        17.93        21.06          914.43         1074.06
            22971931              40        17.84        23.59          713.60          943.60
            35141667              98        21.15        26.43         2072.70         2590.14
            43210345              76        11.33        14.55          861.08         1105.80
            63173268               9        15.25        18.46          137.25          166.14
            28342656               2        26.18        30.82           52.36           61.64
            61677125              39        27.05        32.57         1054.95         1270.23
            22217524              54        10.94        15.56          590.76          840.24
            32407988              15        28.85        34.65          432.75          519.75
            69865581              94        21.26        26.45         1998.44         2486.30
            50019335              63        18.86        23.04         1188.18         1451.52
            42145649              30        19.23        24.90          576.90          747.00
            59128090              11        16.39        20.12          180.29          221.32
            77803747              70        26.72        29.74         1870.40         2081.80
            18422552             100        22.06        27.26         2206.00         2726.00
            41555059              44        27.38        32.97         1204.72         1450.68
            52555493              21        20.65        25.19          433.65          528.99
            83980353              56        20.50        25.99         1148.00         1455.44
            65237455              56        12.63        17.39          707.28          973.84
            81912584              99        26.86        31.94         2659.14         3162.06
            63758855              39        11.25        14.70          438.75          573.30
            71529535              21        27.36        31.04          574.56          651.84
            80767659              23        26.89        31.88          618.47          733.24
            32945551              21        21.25        26.10          446.25          548.10
            40299841              50        28.50        31.89         1425.00         1594.50
            61965647              88        24.88        29.03         2189.44         2554.64
            88550476              20        21.62        24.86          432.40          497.20
            37948824              62        25.06        28.67         1553.72         1777.54
            37413158              28        28.57        33.34          799.96          933.52
            82701870              86        10.09        15.23          867.74         1309.78
            77086936              79        19.91        25.81         1572.89         2038.99
            66698657              48        16.13        21.83          774.24         1047.84
            71852096              57        26.92        30.71         1534.44         1750.47
            53518629              69        11.66        17.49          804.54         1206.81
            17692750              97        18.54        23.26         1798.38         2256.22
            80101956              97        23.40        28.25         2269.80         2740.25
            81252880              16        14.36        18.04          229.76          288.64
            60410146              21        26.93        32.34          565.53          679.14
            85525597              18        17.05        22.42          306.90          403.56
            73657743              49        19.68        23.46          964.32         1149.54
            34092153               3        23.76        29.20           71.28           87.60
            43941327              31        12.59        16.54          390.29          512.74
            75630018              41        10.08        15.68          413.28          642.88
            43051474              81        20.39        25.20         1651.59         2041.20
            46621097              48        26.37        29.84         1265.76         1432.32
            49263193              93        29.39        34.89         2733.27         3244.77
            59189425              89        22.54        27.43         2006.06         2441.27
            58339617              68        13.73        18.72          933.64         1272.96
            34763532              86        15.68        21.17         1348.48         1820.62
            62028894              95        28.44        33.25         2701.80         3158.75
            87951178              60        18.19        23.37         1091.40         1402.20
            34751590              46        12.60        16.52          579.60          759.92
            58782510              80        21.90        25.49         1752.00         2039.20
            79900665              22        21.35        24.99          469.70          549.78
            64349453              14        18.46        23.84          258.44          333.76
            83480974              83        23.94        29.53         1987.02         2450.99
            58759637              78        15.20        18.21         1185.60         1420.38
            19121129              99        11.37        14.84         1125.63         1469.16
            58485457               5        23.64        28.18          118.20          140.90
            60360685              42        28.86        33.14         1212.12         1391.88
            21291543              84        21.88        27.76         1837.92         2331.84
            50536431              89        26.48        29.98         2356.72         2668.22
            29691501              57        22.78        28.28         1298.46         1611.96
            45136408               2        12.71        15.71           25.42           31.42
            66125098              44        22.44        28.41          987.36         1250.04
            57667879              22        16.21        22.04          356.62          484.88
            29134137              49        13.61        18.81          666.89          921.69
            21094940              53        12.59        17.31          667.27          917.43
            56030075              46        18.62        22.81          856.52         1049.26
            23026496              35        20.95        24.90          733.25          871.50
            58609625               1        23.58        27.78           23.58           27.78
            57301383              68        15.52        21.46         1055.36         1459.28
            22307784              99        14.22        19.97         1407.78         1977.03
            49013255              89        18.32        24.27         1630.48         2160.03
            84777768              66        11.40        14.53          752.40          958.98
            81982758              56        10.68        14.84          598.08          831.04
            65853384              51        18.67        22.56          952.17         1150.56
            34850784              89        12.43        15.68         1106.27         1395.52
            73638310              31        14.74        19.35          456.94          599.85
            38944334              93        13.73        18.51         1276.89         1721.43
            41677726              77        14.76        18.57         1136.52         1429.89
            72587977              76        24.53        29.75         1864.28         2261.00
            75268158              29        13.03        18.84          377.87          546.36
            62963680              36        17.16        22.50          617.76          810.00
            66992188              85        29.40        33.97         2499.00         2887.45
            47553915              25        19.60        25.24          490.00          631.00
            15495526              36        16.20        20.47          583.20          736.92
            24955147             100        15.08        20.76         1508.00         2076.00
            77465093              70        16.94        22.83         1185.80         1598.10
            25725760              15        26.82        32.17          402.30          482.55
            80858072              98        13.32        16.89         1305.36         1655.22
            36990628              49        28.67        33.09         1404.83         1621.41
            86578282              36        29.59        33.51         1065.24         1206.36
            79065482              77        15.63        21.13         1203.51         1627.01
            26383509              27        22.91        27.15          618.57          733.05
            78039357              82        16.45        22.40         1348.90         1836.80
            39458442              23        20.49        26.06          471.27          599.38
            35071419              50        18.92        22.88          946.00         1144.00
            71912539               9        13.96        19.25          125.64          173.25
            79195238              21        11.38        15.86          238.98          333.06
            66028170              21        17.59        23.57          369.39          494.97
            77086674              85        18.06        23.88         1535.10         2029.80
            39421903              19        10.45        16.29          198.55          309.51
            46182485              57        11.19        15.73          637.83          896.61
            85598406              64        10.32        14.12          660.48          903.68
            24467721               3        15.72        21.71           47.16           65.13
            28166727               8        17.58        23.34          140.64          186.72
            59142280              97        20.84        25.19         2021.48         2443.43
            53972005              43        22.81        28.51          980.83         1225.93
            18059483              19        13.66        17.57          259.54          333.83
            75799058              31        25.89        30.75          802.59          953.25
            36473623              16        15.21        19.89          243.36          318.24
            13174473              91        29.75        35.68         2707.25         3246.88
            79170842              16        29.59        34.75          473.44          556.00
            44481271              78        27.03        32.21         2108.34         2512.38
            83762728              45        22.25        25.31         1001.25         1138.95
            82011078              13        18.39        23.28          239.07          302.64
            73831091              86        25.67        30.20         2207.62         2597.20
            29257517              83        10.76        13.93          893.08         1156.19
            38334221               7        26.57        32.06          185.99          224.42
            16224831              41        11.63        16.47          476.83          675.27
            67317709              16        10.27        15.03          164.32          240.48
            17559533              50        24.91        30.57         1245.50         1528.50
            32216703              97        23.12        28.83         2242.64         2796.51
            84623811               2        15.66        20.90           31.32           41.80
            76502369               7        12.35        16.47           86.45          115.29
            35342162              75        29.91        34.65         2243.25         2598.75
            62283911               7        15.50        21.11          108.50          147.77
            67167784               7        20.82        24.08          145.74          168.56
            75724437              74        23.26        26.87         1721.24         1988.38
            56664402              75        12.40        15.93          930.00         1194.75
            59333352              73        25.88        29.43         1889.24         2148.39
            49493175              39        14.55        19.03          567.45          742.17
            40749682              96        14.45        19.50         1387.20         1872.00
            62111634               1        16.41        19.97           16.41           19.97
            50295179              88        23.09        28.10         2031.92         2472.80
            30174319              22        29.51        33.43          649.22          735.46
            63706075              21        15.39        21.26          323.19          446.46
            32895121              61        28.99        32.57         1768.39         1986.77
            88304184              84        18.55        23.14         1558.20         1943.76
            53717044              66        16.04        20.59         1058.64         1358.94
            32913509              42        11.94        16.43          501.48          690.06
            70178351               1        19.18        24.56           19.18           24.56
            44544249               3        26.55        30.19           79.65           90.57
            75529079              28        29.27        33.08          819.56          926.24
            32728517              82        15.43        19.58         1265.26         1605.56
            41818150              51        13.22        18.99          674.22          968.49
            69855441              96        15.56        18.77         1493.76         1801.92
            69358897              32        23.73        28.73          759.36          919.36
            60384491              55        28.17        32.53         1549.35         1789.15
            42884653              91        15.56        19.32         1415.96         1758.12
            31641263              48        20.95        26.17         1005.60         1256.16
            56827836              55        15.74        20.17          865.70         1109.35
            57739204               1        23.02        27.52           23.02           27.52
            83234292              26        23.80        29.24          618.80          760.24
            34171236              19        24.01        29.29          456.19          556.51
            69730813              84        12.39        17.64         1040.76         1481.76
            54979164              83        21.06        25.15         1747.98         2087.45
            43771833              50        18.24        21.52          912.00         1076.00
            83391843              30        20.31        23.67          609.30          710.10
            77435552              39        12.08        17.33          471.12          675.87
            33686751              46        20.10        23.74          924.60         1092.04
            46132369              64        28.23        32.34         1806.72         2069.76
            38280325              17        12.94        16.01          219.98          272.17
            86232263              80        11.06        14.93          884.80         1194.40
            17327188              41        23.79        28.18          975.39         1155.38
            75541722              78        22.80        25.97         1778.40         2025.66
            22877827               6        16.46        21.19           98.76          127.14
            63689991              40        26.49        31.87         1059.60         1274.80
            20766559              15        17.28        21.88          259.20          328.20
            52700852              67        28.70        31.79         1922.90         2129.93
            13045439              80        20.24        24.00         1619.20         1920.00
            31396612              63        15.52        21.11          977.76         1329.93
            80955309               3        16.51        20.07           49.53           60.21
            38932471              34        12.93        17.33          439.62          589.22
            64463514               1        15.90        19.22           15.90           19.22
            21098319              27        16.73        20.84          451.71          562.68
            49265048              58        13.50        18.90          783.00         1096.20
            40176566              78        23.29        29.24         1816.62         2280.72
            80581530              95        11.64        15.99         1105.80         1519.05
            18659990              43        15.01        20.76          645.43          892.68
            55371335              27        18.18        23.50          490.86          634.50
            72216160               2        10.67        14.72           21.34           29.44
            13201627              70        18.12        24.09         1268.40         1686.30
            73657743              49        19.68        23.46          964.32         1149.54
            64382696              86        15.98        20.57         1374.28         1769.02
            35303316              84        10.96        14.03          920.64         1178.52
            21523085              56        18.54        22.90         1038.24         1282.40
            77189549              21        21.15        24.64          444.15          517.44
            43941327              31        12.59        16.54          390.29          512.74
            46621097              48        26.37        29.84         1265.76         1432.32
            31917171              58        23.27        27.29         1349.66         1582.82
            58339617              68        13.73        18.72          933.64         1272.96
            47216256              83        24.21        30.02         2009.43         2491.66
            62028894              95        28.44        33.25         2701.80         3158.75
            87951178              60        18.19        23.37         1091.40         1402.20
            18059483              19        13.66        17.57          259.54          333.83
            72591229              27        15.58        20.41          420.66          551.07
            62159876              47        12.63        17.34          593.61          814.98
            28062267              47        14.68        18.06          689.96          848.82
            64349453              14        18.46        23.84          258.44          333.76
            17103483              86        24.10        27.36         2072.60         2352.96
            59734200              12        25.75        31.22          309.00          374.64
            55842246              48        15.98        21.43          767.04         1028.64
            83480974              83        23.94        29.53         1987.02         2450.99
            43210345              76        11.33        14.55          861.08         1105.80
            65537294              64        21.96        27.57         1405.44         1764.48
            58609625               1        23.58        27.78           23.58           27.78
            50310242              84        10.30        13.80          865.20         1159.20
            57301383              68        15.52        21.46         1055.36         1459.28
            27470967              10        16.17        20.36          161.70          203.60
            49013255              89        18.32        24.27         1630.48         2160.03
            84777768              66        11.40        14.53          752.40          958.98
            65853384              51        18.67        22.56          952.17         1150.56
            34850784              89        12.43        15.68         1106.27         1395.52
            41677726              77        14.76        18.57         1136.52         1429.89
            80924508              94        23.82        28.14         2239.08         2645.16
            83361455              50        10.14        16.07          507.00          803.50
            58038988              62        13.42        17.69          832.04         1096.78
            69865581              94        21.26        26.45         1998.44         2486.30
            21314622              60        18.99        24.19         1139.40         1451.40
            49052689              79        23.14        27.68         1828.06         2186.72
            18422552             100        22.06        27.26         2206.00         2726.00
            83637016              69        27.45        31.72         1894.05         2188.68
            17800899              16        22.20        26.01          355.20          416.16
            83980353              56        20.50        25.99         1148.00         1455.44
            65237455              56        12.63        17.39          707.28          973.84
            63758855              39        11.25        14.70          438.75          573.30
            77465093              70        16.94        22.83         1185.80         1598.10
            80767659              23        26.89        31.88          618.47          733.24
            37948824              62        25.06        28.67         1553.72         1777.54
            82701870              86        10.09        15.23          867.74         1309.78
            46182485              57        11.19        15.73          637.83          896.61
            34307586              41        18.20        24.14          746.20          989.74
            59142280              97        20.84        25.19         2021.48         2443.43
            81252880              16        14.36        18.04          229.76          288.64
            44928407              38        14.42        20.03          547.96          761.14
            75799058              31        25.89        30.75          802.59          953.25
            48583427              80        15.99        20.68         1279.20         1654.40
            13174473              91        29.75        35.68         2707.25         3246.88
            43151607              65        13.59        19.16          883.35         1245.40
            85941566              18        21.95        27.00          395.10          486.00
            58782510              80        21.90        25.49         1752.00         2039.20
            57978117              10        28.15        33.61          281.50          336.10
            55000517              95        11.84        15.36         1124.80         1459.20
            19121129              99        11.37        14.84         1125.63         1469.16
            21291543              84        21.88        27.76         1837.92         2331.84
            50536431              89        26.48        29.98         2356.72         2668.22
            45136408               2        12.71        15.71           25.42           31.42
            53904146              33        29.37        35.22          969.21         1162.26
            29134137              49        13.61        18.81          666.89          921.69
            34549045               7        13.67        16.67           95.69          116.69
            22231544              65        23.11        28.16         1502.15         1830.40
            79065482              77        15.63        21.13         1203.51         1627.01
            35071419              50        18.92        22.88          946.00         1144.00
            71912539               9        13.96        19.25          125.64          173.25
            82011078              13        18.39        23.28          239.07          302.64
            38334221               7        26.57        32.06          185.99          224.42
            81138617              46        15.15        19.76          696.90          908.96
            77430412              70        29.20        34.45         2044.00         2411.50
            17559533              50        24.91        30.57         1245.50         1528.50
            11587650              37        10.76        14.92          398.12          552.04
            76502369               7        12.35        16.47           86.45          115.29
            22442765              20        14.24        18.39          284.80          367.80
            61677125              39        27.05        32.57         1054.95         1270.23
            31187804              66        20.23        25.46         1335.18         1680.36
            62283911               7        15.50        21.11          108.50          147.77
            49996948              32        21.50        26.64          688.00          852.48
